Provincia de Misiones,Provincia,Misiones,IGN,54,MI,AR-N
Provincia de San Luis,Provincia,San Luis,IGN,74,SL,AR-D
Provincia de San Juan,Provincia,San Juan,IGN,70,SJ,AR-J
Provincia de Entre Ríos,Provincia,Entre Ríos,IGN,30,ER,AR-E
Provincia de Santa Cruz,Provincia,Santa Cruz,IGN,78,SC,AR-Z
Provincia de Río Negro,Provincia,Río Negro,IGN,62,RN,AR-R
Provincia del Chubut,Provincia,Chubut,IGN,26,CT,AR-U
Provincia de Córdoba,Provincia,Córdoba,IGN,14,CB,AR-X
Provincia de Mendoza,Provincia,Mendoza,IGN,50,MZ,AR-M
Provincia de La Rioja,Provincia,La Rioja,IGN,46,LR,AR-F
Provincia de Catamarca,Provincia,Catamarca,IGN,10,CA,AR-K
Provincia de La Pampa,Provincia,La Pampa,IGN,42,LP,AR-L
Provincia de Santiago del Estero,Provincia,Santiago del Estero,IGN,86,SE,AR-G
Provincia de Corrientes,Provincia,Corrientes,IGN,18,CR,AR-W
Provincia de Santa Fe,Provincia,Santa Fe,IGN,82,SF,AR-S
Provincia de Tucumán,Provincia,Tucumán,IGN,90,TU,AR-T
Provincia del Neuquén,Provincia,Neuquén,IGN,58,NQ,AR-Q
Provincia de Salta,Provincia,Salta,IGN,66,SA,AR-A
Provincia del Chaco,Provincia,Chaco,IGN,22,CH,AR-H
Provincia de Formosa,Provincia,Formosa,IGN,34,FO,AR-P
Provincia de Jujuy,Provincia,Jujuy,IGN,38,JY,AR-Y
Ciudad Autónoma de Buenos Aires,Ciudad Autónoma,Ciudad Autónoma de Buenos Aires,IGN,2,CABA,AR-C
Provincia de Buenos Aires,Provincia,Buenos Aires,IGN,6,BA,AR-B
Provincia de Tierra-del-Fuego Antártida e Islas-del-Atlántico-Sur,Provincia,Tierra del Fuego,IGN,94,TF,AR-V

2007,Río Negro,25,11,18434,25075,0
2007,Salta,6993,1206,11717,16893,0
2007,San Juan,0,0,161,1185,0
2007,San Luis,4884,0,8571,12205,0
2007,Santa Cruz,2,2,1816,7204,0
2007,Santa Fe,98,95,519,2082,0
2007,Santiago del Estero,0,0,950,3595,0
2007,Tierra del Fuego,2,0,4,9,1
2007,Tucumán,40,3,160,659,0
2008,Buenos Aires,2083,10462,2204,54075,0
2008,Catamarca,2840,274,5135,4295,0
2008,Chaco,718,0,246,1909,0
2008,Chubut,3459,780,1536,3512,0
2008,Ciudad Autónoma de Buenos Aires,0,0,0,2,0
2008,Córdoba,15603,2,18228,27709,0
2008,Corrientes,2880,3161,0,2012,0
2008,Entre Ríos,2037,1315,27342,47200,0
2008,Formosa,30,0,131,4004,0
2008,Jujuy,191,392,1400,664,0
2008,La Pampa,41315,0,22166,34005,0
2008,La Rioja,70,0,325,622,0
2008,Mendoza,827,1,10016,77682,0
2008,Misiones,83,385,238,767,0
2008,Neuquén,136,33,217,486,0
2008,Río Negro,8,20,5669,14652,0
2008,Salta,4428,1294,8554,13115,0
2008,San Juan,120,15,148,840,0
2008,San Luis,3070,2000,0,19080,0
2008,Santa Cruz,3,0,33456,21840,0
2008,Santa Fe,234,179,284,4304,0
2008,Santiago del Estero,0,0,3773,20860,0
2008,Tierra del Fuego,4846,0,0,61,2489
2008,Tucumán,20,0,41,185,0
2009,Buenos Aires,10032,1940,286,21821,0
2009,Catamarca,7605,5429,6611,34608,0
2009,Chaco,875,0,241,2326,0
2009,Chubut,107,28,138,95,0
2009,Ciudad Autónoma de Buenos Aires,5,0,5,55,0
2009,Córdoba,21884,120,10500,37743,0
2009,Corrientes,545,5037,3,9975,0
2009,Entre Ríos,0,252,0,552,0
2009,Formosa,0,0,152,1226,0
2009,Jujuy,334,275,388,670,0
2009,La Pampa,12386,40,2500,10000,0
2009,La Rioja,100,0,1010,2870,0
2009,Mendoza,244,2,5485,19565,0
2009,Misiones,248,508,84,639,0
2009,Neuquén,30,5,29,146,0
2009,Río Negro,1322,808,3850,8774,0
2009,Salta,4555,1116,11081,18299,0
2009,San Juan,0,0,126,1039,0
2009,San Luis,37445,0,324669,124449,0
2009,Santa Cruz,0,0,5096,4753,0
2009,Santa Fe,22,293,62,3510,0
2009,Santiago del Estero,8090,0,4800,26650,0
2009,Tierra del Fuego,34,0,1,1,0
2009,Tucumán,804,90,882,3217,0
2010,Buenos Aires,1451,551,514,6156,0
2010,Catamarca,564,0,1683,13583,0
2010,Chaco,973,507,209,2229,0
2010,Chubut,176,26,529,531,0
2010,Ciudad Autónoma de Buenos Aires,0,0,0,0,0
2010,Córdoba,2233,790,0,7282,0
